	Бренд	Модель	Ширина линзы (мм)	Мост (мм)	Длина заушника (мм)	Ширина оправы (мм)
253	Gucci	GG 3674/S, 1ON	53	19	140	145
254	Carrera	CARRERA 6001, W32	51	19	145	135
255	Matsuda	M8810 c.S1	53	18	140	140
256	Matsuda	M8054 c.1	53	21	140	145
257	Polaroid	PLD D324, KJ1	54	18	145	136
258	Eyelet Kids	Оправа EYELET, EJ136 A1	46	18	135	125
259	Eyelet Kids	Оправа EYELET, EJ139 A11	44	16	125	115
260	Eyelet Kids	Оправа EYELET, EJ1310 A1	48	16	130	125
261	Rodenstock	R2186, D	55	16	145	135
262	Eyelet Kids	Оправа EYELET, EJ139 A9	44	16	125	115
263	Pierre Cardin	PC 6179, KFB	55	16	145	140
264	Safilo Kids	SA 0001, I75	36	14	110	110
265	Safilo Kids	SA 0004, 0WG	42	16	120	115
266	Alexander Mcqueen	AMQ 4254/S, 2IC	53	20	140	140
267	Ray Ban	RB 3747V-2500	47	21	140	123
268	Ray Ban	RB 3612 9035/93	56	19	145	140
269	Matsuda	Водительские клипоны на очки, прямоугольные коричневые	62			135
270	Matsuda	Водительские клипоны на очки с желтыми линзами	56			125
271	Essilor	Orma 1.5 Transitions XTRActive Gray Supra				
272	Essilor	Orma 1.5 Transitions XTRActive Gray Crizal Alize+ UV				
273	Essilor	Orma 1.5 Transitions XTRActive Brown Crizal Alize+ UV				
274	Prada	VPR 60Q 1BO-1O1	56	18	140	140
275	Winx Kids	WV-023-140	46	16	125	120
276	Tokidoki Kids	Оправа TOKIDOKI, TKV-008-301	52	16	140	130
277	Barbie Kids	BBV008, PNK	48	19	135	125
278	Accessories	Ступор (пара)				
279	Essilor	AS Stylis 1.67 Crizal Easy UV				
280	Balenciaga	BAL 0078, 05L (без футляра)	55	13	135	130
281	Balenciaga	BAL 0087, UI4 (без футляра)	47	20	140	130
282	Balenciaga	BAL 0091, UE0 (без футляра)	50	15	140	130
283	Balenciaga	BAL 0113, KBB (без футляра)	52	16	135	130
284	Safilo Kids	SA 0002, GU8	39	14	110	110
285	Balenciaga	BAL 0143/S HE5 (без футляра)	57	18	135	140
286	Balenciaga	BAL 0124/S ITH (без футляра)	71	7	120	145
287	Balenciaga	BAL 0129/S 01P (без футляра)	58	17	130	130
288	Balenciaga	BAL 0142/S ITH (без футляра)	58	15	135	140
289	Balenciaga	BAL 0127/S 05V (без футляра)	59	16	135	145
290	Balenciaga	BAL 0130/S H9B (без футляра)	57	13	130	140
291	Balenciaga	BAL 0131/S H9B  ( без футляра)	57	13	130	140
292	Balenciaga	BAL 0125/S LGC (без футляра)	53	20	130	130
293	Polaroid Kids	PLD 008, 8YD	48	16	125	125
294	Matsuda	Водительские клипоны на очки, прямоугольные серые	58	14		130
295	Seventh Street Kids	Оправа Seventh Street, S 211, 4H1	48	17	135	125
296	Seventh Street Kids	S 314, J5G	51	14	130	129
297	Polaroid Kids	PLD 8043/S, AHY	47	16	125	120
298	Seeoo	Seeoo Light Darck Black (+2,0;+2,5)	38	16		
299	Seeoo	Seeoo Light Dark Blue (+1,5;+2,0;+2,5;+3,0 )	38	16		
300	Caractere	CT 449 c.HA	54	15	135	135
301	Sting	VS 6508, 700Q	51	17	140	130
302	Sting	VS 4879V, ABM	50	16	140	130
303	Sting	VS 6494, AL3	53	17	140	135
304	Sting	VS 6486S, Z97X	55	12	140	135
305	Fun Kids	FH-26 c.DBRW	47	17	125	125
306	Fisher Price Kids	FPM014 c08 (46)	46	18	135	131
307	Eyelet Kids	Оправа EYELET, EJ139 A1	44	16	125	120
308	Action Man Kids	Оправа Action Man, AMV119-600m	45	15	120	120
309	Fisher Price Kids	FPVN013, PNK (45)	45	17	130	118
310	Action Man Kids	Оправа Action Man, AMV108-600	46	15	125	125
311	Tommy Hilfiger	TH 1242/S, 1JK	53	20	140	140
312	Polaroid	PLD D448, 08A	55	16	140	139
313	Marc Jacobs	MJ 539, 128	52	19	145	140
314	Oxydo	OX 546, 807	53	15	140	135
315	Polaroid	PLD D458/G, 807	54	17	145	140
316	Polaroid	PLD D428/G, 0T5	56	17	145	143
317	Safilo	7A 001, R80	54	17	145	136
318	Maxmara	MM 1271, USO	50	18	135	135
319	Silhouette	Оправа Silhouette 2876-6050	50	17	145	135
320	Liberty Sport	MAXX-31 SHNB (5520)	55	20	строп	144
321	Demetz	TRANSLATIO HAD20-00060 (5717)	57	17	120	138
322	Boss Hugo Boss	BOSS 1181, R81	53	19	145	140
323	Tom Ford	TF 5189- 055	54	17	140	134
324	Tom Ford	TF 5358-042	52	16	140	135
325	Valentin Yudashkin	VYF 154 c02	54	18	140	135
326	Valentin Yudashkin	VYF 155 c03	54	18	140	137
327	Valentin Yudashkin	VY 16 c.04	53	14	130	135
328	Valentin Yudashkin	VYF 120 c02	55	18	140	142
329	Safilo	7A 045, AOZ	57	16	145	141
330	Safilo	7A 057, V81	54	17	140	135
331	Jaguar	JA 33707-6500	49	21	140	131
332	Jaguar	Оправа JAGUAR MFL	54	17	135	130
333	Jaguar	JA 33112-4200	50	18	145	136
334	Polaroid Kids	PLD 8000/S, T15	50	14	114	110
335	Tom Ford	TF 447, 49J	60	15	140	145
336	Tom Ford	TF 382, 80B	57	19	140	145
337	Tom Ford	TF 396, 01N	58	17	135	145
338	Jaguar	Оправа  JAGUAR 33090-5100	59	16	145	141
339	Jaguar	JA 37113-8840	58	16	135	136
340	Jaguar	JA 37339-600	61	14	140	135
341	Valentin Yudashkin	Солнцезащитные очки V. Yudashkin, VY 3-1891 EO col. A128	53	15	140	135
342	Gucci	GG 2256/S, J5G	55	17	145	130
343	Gucci	GG 4263/S, LOW	60	14	140	140
344	Tommy Hilfiger	TH 1187/S, 05L	54	21	135	145
345	Tommy Hilfiger	TH 1386/S, QQF	54	19	140	140
346	Tommy Hilfiger	TH 1261/S, 4LW	57	15	140	140
347	Tommy Hilfiger	TH 1644/S, PJP	50	22	145	135
348	Max&amp;co	MAX&amp;CO 296/S, TQX	52	19	145	135
349	Marc Jacobs	MJ 585/S, 807	55	19	135	140
350	Tokidoki Kids	Оправа TOKIDOKI, TKV-001-120	52	18	140	135
351	Max&amp;co	MAX&amp;CO 285/S, UGQ	54	16	145	135
